company,platform,careers_url
Google,generic,https://www.google.com/about/careers/applications/jobs/results/
Tesla,generic,https://www.tesla.com/careers/search/
SpaceX,greenhouse,https://boards.greenhouse.io/spacex
Apple,workday,https://apple.wd5.myworkdayjobs.com/en-US/corporate_careers
Microsoft,workday,https://microsoft.wd5.myworkdayjobs.com/en-US/MSFTInternal
Amazon / AWS,workday,https://amazon.wd5.myworkdayjobs.com/en-US/External
Meta,generic,https://www.metacareers.com/jobs/
NVIDIA,workday,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite
OpenAI,ashby,https://jobs.ashbyhq.com/openai
TSMC,avature_html,https://careers.tsmc.com/en_US/careers/SearchJobs/?147=5709
Intel,workday,https://intel.wd1.myworkdayjobs.com/en-US/External
Micron Technology,eightfold,https://careers.micron.com/careers
Applied Materials,eightfold,https://careers.appliedmaterials.com/careers
Lam Research,eightfold,https://careers.lamresearch.com/careers
ASML,asml_sitecore,https://www.asml.com/en/careers/find-your-job
Samsung Electronics,samsung_api,https://semiconductor.samsung.com/about-us/careers/jobs/
Broadcom,workday,https://broadcom.wd1.myworkdayjobs.com/en-US/External_Career
AMD,generic,https://careers.amd.com/careers-home/
Equinix,generic,https://careers.equinix.com/jobs/search?country_codes%5B%5D=US&page=1&query=
Digital Realty,oracle_hcm_har,https://hdep.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Qualcomm,workday,https://qualcomm.wd5.myworkdayjobs.com/en-US/External
Texas Instruments,oracle_hcm_har,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
GlobalFoundries,eightfold,https://careers.gf.com/careers
Marvell Technology,generic,https://www.marvell.com/company/careers.html
KLA Corporation,generic,https://www.kla.com/careers
ASM International,generic,https://www.asm.com/careers/
Tokyo Electron,generic,https://www.tel.com/careers/
Western Digital,smartrecruiters,https://jobs.smartrecruiters.com/WesternDigital
Seagate Technology,generic,https://seagatecareers.com/
Corning,generic,https://corningjobs.corning.com/
Honeywell,generic,https://careers.honeywell.com/us/en/search-results
Emerson,generic,https://www.emerson.com/en-us/careers
Rockwell Automation,generic,https://www.rockwellautomation.com/en-us/company/careers.html
Schneider Electric,generic,https://www.se.com/ww/en/about-us/careers/job-details/
Siemens,generic,https://jobs.siemens.com/careers
ABB,generic,https://careers.abb/global/en/search-results
Eaton,generic,https://jobs.eaton.com/
Johnson Controls,generic,https://jobs.johnsoncontrols.com/
Blue Origin,generic,https://www.blueorigin.com/careers/search
Northrop Grumman,workday,https://ngc.wd1.myworkdayjobs.com/en-US/Northrop_Grumman_External_Site
Lockheed Martin,workday,https://lockheedmartin.wd5.myworkdayjobs.com/en-US/search
Boeing,workday,https://boeing.wd1.myworkdayjobs.com/en-US/external_careers
RTX,generic,https://careers.rtx.com/global/en/search-results
General Dynamics,workday,https://generaldynamics.wd1.myworkdayjobs.com/en-US/GD
L3Harris Technologies,generic,https://careers.l3harris.com/en/search-jobs
Anduril,lever,https://jobs.lever.co/anduril
Relativity Space,lever,https://jobs.lever.co/relativity
Rocket Lab,generic,https://www.rocketlabusa.com/careers/positions/
Sierra Space,generic,https://www.sierraspace.com/careers/
Axiom Space,generic,https://www.axiomspace.com/careers
Firefly Aerospace,generic,https://fireflyspace.com/careers/
Rivian,generic,https://careers.rivian.com/
Lucid Motors,generic,https://lucidmotors.com/careers/search
General Motors,workday,https://generalmotors.wd5.myworkdayjobs.com/en-US/Careers_GM
Ford,generic,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions
Toyota,generic,https://careers.toyota.com/us/en/search-results
BMW Group,generic,https://www.bmwgroup.jobs/us/en/jobs.html
Mercedes-Benz,generic,https://group.mercedes-benz.com/careers/job-search/
Stellantis,generic,https://careers.stellantis.com/
Volkswagen Group,generic,https://www.volkswagen-group.com/en/careers-16015
Hyundai Motor Group,generic,https://careers.hyundai.com/
Panasonic Energy,generic,https://careers.na.panasonic.com/
CATL,generic,https://www.catl.com/en/recruitment/
