company,status,current_matches,new_matches,detail
ABB,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"AECOM, Dallas, Texas",BROWSER_ONLY,0,0,verified source requires browser/session or blocks GitHub Actions HTTP
AMD,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"ARCO Construction Cos., St. Louis, Mo.",FAILED,0,0,404 Client Error: Not Found for url: https://careers.thearcoway.com/api/jobs?sortBy=relevance&page=1&internal=false
ASM International,FAILED,0,0,no supported ATS or structured JobPosting data discovered
ASML,FAILED,0,0,401 Client Error: Unauthorized for url: https://discover-euc1.sitecorecloud.io/discover/v2/126200477
AbbVie,FAILED,0,0,Workday 401 at https://abbvie.wd5.myworkdayjobs.com/wday/cxs/abbvie/abbvie_careers/jobs
Adobe,WORKING,0,0,
"Adolfson & Peterson Construction, Minneapolis, Minn.†",WORKING,3,0,
Airbnb,WORKING,0,0,
"Alberici-Flintco, St. Louis, Mo.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Aligned Data Centers,WORKING,0,0,
"Allan Myers, Worcester, Pa.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Amazon / AWS,FAILED,0,0,Workday 422 at https://amazon.wd5.myworkdayjobs.com/wday/cxs/amazon/External/jobs
"Ames Construction, Burnsville, Minn.",FAILED,0,0,public careers page blocked (403); direct source adapter needed
Amgen,WORKING,0,0,
Anduril,FAILED,0,0,404 Client Error: Not Found for url: https://api.lever.co/v0/postings/anduril?mode=json
Anthropic,WORKING,1,0,
Apple,FAILED,0,0,Workday 422 at https://apple.wd5.myworkdayjobs.com/wday/cxs/apple/corporate_careers/jobs
Applied Materials,WORKING,0,0,
AstraZeneca,WORKING,0,0,
"Austin Industries, Dallas, Texas",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Axiom Space,WORKING,0,0,
"BL Harbert International, Birmingham, Ala.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
BMW Group,FAILED,0,0,"HTTPSConnectionPool(host='www.bmwgroup.jobs', port=443): Read timed out. (read timeout=25)"
"Balfour Beatty US, Dallas, Texas†",BROWSER_ONLY,0,0,verified source requires browser/session or blocks GitHub Actions HTTP
Bank of America,FAILED,0,0,Workday 422 at https://bankofamerica.wd1.myworkdayjobs.com/wday/cxs/bankofamerica/BofACareers/jobs
"Barton Malow Holdings LLC, Southfield, Mich.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Bechtel, Reston, Va.",WORKING,0,0,
